INV_TYPE,EMP_NO,ARROND,ARROND_NOM,Rue,Rue_cote,No_civique,Emplacement,Sigle,Essence_latin,Essence_fr,Essence_ang,DHP,Date_Releve,Date_Plantation,LOCALISATION,Localisation_code,CODE_PARC,NOM_PARC,Rue_de,Rue_a,Distance_pave,Distance_ligne_rue,Stationnement_jour,Stationnement_heure,District,Arbre_remarquable,Code_secteur,Nom_secteur,Coord_X,Coord_Y,Longitude,Latitude
H,31696,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,26,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299491.461,5041032.183,-73.567938,45.50919
R,258020,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,GIBI,Ginkgo biloba,Ginkgo à feuilles bilobées,Maidenhair Tree,5,2023-10-15T00:00:00,2023-10-15T00:00:00,"Devant le 2021, à 32 m du début de la façade",M-32,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.6,3.7,L-V,06:30-07:30,184,N,,,299361.854,5040996.797,-73.569597,45.50887
R,195904,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,FRPE,Fraxinus pennsylvanica,Frêne de Pennsylvanie,Red Ash,30,2016-06-16T00:00:00,,"Devant le 2021, à 36 m du début de la façade",M-36,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.8,3.7,L-V,06:30-07:30,184,N,,,299359.052,5040999.711,-73.569633,45.508897
H,31745,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,7,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299496.282,5041033.879,-73.567877,45.509205
H,31695,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,29,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299494.531,5041037,-73.567899,45.509233
H,31744,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,9,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299498.782,5041037.718,-73.567845,45.50924
R,258021,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,CLKE,Cladastris kentukea,"Virgilier, Virgilier à bois jaune",American Yellowwood,5,2016-11-28T00:00:00,2016-11-28T00:00:00,"Devant le 2021, à 41 m du début de la façade",M-41,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.8,3.7,L-V,06:30-07:30,184,N,,,299354.54,5041002.084,-73.56969,45.508918
H,31694,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,26,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299497.086,5041041.378,-73.567867,45.509273
R,195905,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,FRPE,Fraxinus pennsylvanica,Frêne de Pennsylvanie,Red Ash,22,2016-06-16T00:00:00,,"Devant le 2021, à 48 m du début de la façade",M-48,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.9,3.7,L-V,06:30-07:30,184,N,,,299349.419,5041005.814,-73.569756,45.508952
H,31693,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,30,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299500.781,5041047,-73.567819,45.509323
H,31743,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,8,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299505.924,5041049.145,-73.567753,45.509343
R,270633,6,Ville-Marie,Rue Jeanne-Mance                                            ,O,2080,Parterre Gazonné,OSVI,Ostrya virginiana,Ostryer de Virginie,American Hop-Hornbeam Ironwood,5,2020-10-19T00:00:00,2020-10-19T00:00:00,"Devant le 2080, à 2 m du début de la façade",M-2,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.7,"2.50, 3.60",L-V,15:30-18:00,184,N,,,299339.502,5040992.611,-73.569883,45.508833
H,31692,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,26,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299503.96,5041052.091,-73.567779,45.509369
R,258022,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,CLKE,Cladastris kentukea,"Virgilier, Virgilier à bois jaune",American Yellowwood,5,2016-11-28T00:00:00,2016-11-28T00:00:00,"Devant le 2021, à 55 m du début de la façade",M-55,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.8,3.7,L-V,06:30-07:30,184,N,,,299342.52,5041010.049,-73.569844,45.50899
H,31742,6,Ville-Marie,,,,Parterre bÉtonné,MAXXPA,Malus x 'Prairifire',Pommetier Prairifire,Prairifire Crab Apple,9,2016-09-13T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299508.156,5041052.984,-73.567725,45.509377
R,195906,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,FRPE,Fraxinus pennsylvanica,Frêne de Pennsylvanie,Red Ash,23,2016-06-16T00:00:00,,"Devant le 2021, à 60 m du début de la façade",M-60,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.8,3.7,L-V,06:30-07:30,184,N,,,299339.365,5041012.875,-73.569885,45.509015
H,31691,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,28,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299507.442,5041057.359,-73.567734,45.509417
R,266612,6,Ville-Marie,Rue Jeanne-Mance                                            ,O,2082,Parterre Gazonné,AMCA,Amelanchier canadensis,Amélanchier du Canada,Downy Serviceberry,5,2016-10-03T00:00:00,2016-10-03T00:00:00,"Devant le 2082, à 5 m du début de la façade",M-5,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.7,"2.50, 3.60",L-V,15:30-18:00,184,N,,,299331.569,5040997.844,-73.569984,45.50888
R,192310,6,Ville-Marie,Avenue du Président-Kennedy                                 ,N,,TRottoir,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,20,2019-11-29T00:00:00,2010-10-01T00:00:00,49 m. à l'Ouest de SAINT-URBAIN,O-49,,,SAINT-URBAIN RUE                                  ,JEANNE-MANCE RUE                                  ,1.35,3.05,,,184,N,,,299499.021,5041067.148,-73.567842,45.509505
R,71031,6,Ville-Marie,Avenue du Président-Kennedy                                 ,S,,TRottoir,ULXXHO,Ulmus x 'Homestead',Orme Homestead,Homestead Elm,26,2011-01-17T00:00:00,1996-05-01T00:00:00,59 m. à l'Ouest de JEANNE-MANCE,O-59,,,JEANNE-MANCE RUE                                  ,DE BLEURY RUE                                     ,0.9,,,,184,N,,,299401.511,5040881.148,-73.569088,45.50783
R,258023,6,Ville-Marie,Rue Jeanne-Mance                                            ,E,2021,Parterre Gazonné,CLKE,Cladastris kentukea,"Virgilier, Virgilier à bois jaune",American Yellowwood,5,2016-11-28T00:00:00,2016-11-28T00:00:00,"Devant le 2021, à 64 m du début de la façade",M-64,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.8,3.7,L-V,06:30-07:30,184,N,,,299334.555,5041015.769,-73.569946,45.509041
H,31690,6,Ville-Marie,,,,Parterre Gazonné,ULWIPR,Ulmus wilsoniana 'Prospector',Orme japonais du prospecteur,Prospector's Elm,28,2024-04-15T00:00:00,2010-10-12T00:00:00,,,1265-000,PROMENADE DES ARTISTES,,,,,,,,N,2,OUEST,299510.477,5041062.626,-73.567695,45.509464
R,266617,6,Ville-Marie,Rue Jeanne-Mance                                            ,O,2086,Parterre Gazonné,QUBI,Quercus bicolor,Chêne bleu,Swamp White Oak,5,2016-10-03T00:00:00,2016-10-03T00:00:00,"Devant le 2086, à 4 m du début de la façade",M-4,,,PRÉSIDENT-KENNEDY AVENU DU                        ,SHERBROOKE O RUE                                  ,2.7,"2.50, 3.60",L-V,15:30-18:00,184,N,,,299327.461,5041000.432,-73.570037,45.508903
